species,bill_depth,body_mass,sex
Adelie,16.5,3400,FEMALE
Adelie,17.9,4250,MALE
Adelie,17.1,3400,FEMALE
Adelie,17.2,3475,MALE
Adelie,15.5,3050,FEMALE
Adelie,17,3725,MALE
Adelie,16.8,3000,FEMALE
Adelie,18.7,3650,MALE
Adelie,18.6,4250,MALE
Adelie,18.4,3475,FEMALE
Adelie,17.8,3450,FEMALE
Adelie,18.1,3750,MALE
Adelie,17.1,3700,FEMALE
Adelie,18.5,4000,MALE
Gentoo,13.2,4500,FEMALE
Gentoo,16.3,5700,MALE
Gentoo,14.1,4450,FEMALE
Gentoo,15.2,5700,MALE
Gentoo,14.5,5400,MALE
Gentoo,13.5,4550,FEMALE
Gentoo,14.6,4800,FEMALE
Gentoo,15.3,5200,MALE
Gentoo,13.4,4400,FEMALE
Gentoo,15.4,5150,MALE
Gentoo,13.7,4650,FEMALE
Gentoo,16.1,5550,MALE
Gentoo,13.7,4650,FEMALE
Gentoo,14.6,5850,MALE
Gentoo,14.6,4200,FEMALE
Gentoo,15.7,5850,MALE
Gentoo,13.5,4150,FEMALE
Gentoo,15.2,6300,MALE
Gentoo,14.5,4800,FEMALE
Gentoo,15.1,5350,MALE
Gentoo,14.3,5700,MALE
Gentoo,14.5,5000,FEMALE
Gentoo,14.5,4400,FEMALE
Gentoo,15.8,5050,MALE
Gentoo,13.1,5000,FEMALE
Gentoo,15.1,5100,MALE
Gentoo,15,5650,MALE
Gentoo,14.3,4600,FEMALE
Gentoo,15.3,5550,MALE
Gentoo,15.3,5250,MALE
Gentoo,14.2,4700,FEMALE
Gentoo,14.5,5050,FEMALE
Gentoo,17,6050,MALE
Gentoo,14.8,5150,FEMALE
Gentoo,16.3,5400,MALE
Gentoo,13.7,4950,FEMALE
Gentoo,17.3,5250,MALE
Gentoo,13.6,4350,FEMALE
Gentoo,15.7,5350,MALE
Gentoo,13.7,3950,FEMALE
Gentoo,16,5700,MALE
Gentoo,13.7,4300,FEMALE
Gentoo,15,4750,MALE
Gentoo,15.9,5550,MALE
Gentoo,13.9,4900,FEMALE
Gentoo,13.9,4200,FEMALE
Gentoo,15.9,5400,MALE
Gentoo,13.3,5100,FEMALE
Gentoo,15.8,5300,MALE
Gentoo,14.2,4850,FEMALE
Gentoo,14.1,5300,MALE
Gentoo,14.4,4400,FEMALE
Gentoo,15,5000,MALE
Gentoo,14.4,4900,FEMALE
Gentoo,15.4,5050,MALE
Gentoo,13.9,4300,FEMALE
Gentoo,15,5000,MALE
Gentoo,14.5,4450,FEMALE
Gentoo,15.3,5550,MALE
Gentoo,13.8,4200,FEMALE
Gentoo,14.9,5300,MALE
Gentoo,13.9,4400,FEMALE
Gentoo,15.7,5650,MALE
Gentoo,14.2,4700,FEMALE
Gentoo,16.8,5700,MALE
Gentoo,16.2,5800,MALE
Gentoo,14.2,4700,FEMALE
Gentoo,15,5550,MALE
Gentoo,15,4750,FEMALE
Gentoo,15.6,5000,MALE
Gentoo,15.6,5100,MALE
Gentoo,14.8,5200,FEMALE
Gentoo,15,4700,FEMALE
Gentoo,16,5800,MALE
Gentoo,14.2,4600,FEMALE
Gentoo,16.3,6000,MALE
Gentoo,13.8,4750,FEMALE
Gentoo,16.4,5950,MALE
Gentoo,14.5,4625,FEMALE
Gentoo,15.6,5450,MALE
Gentoo,14.6,4725,FEMALE
Gentoo,15.9,5350,MALE
Gentoo,13.8,4750,FEMALE
Gentoo,17.3,5600,MALE
Gentoo,14.4,4600,FEMALE
Gentoo,14.2,5300,MALE
Gentoo,14,4875,FEMALE
Gentoo,17,5550,MALE
Gentoo,15,4950,FEMALE
Gentoo,17.1,5400,MALE
Gentoo,14.5,4750,FEMALE
Gentoo,16.1,5650,MALE
Gentoo,14.7,4850,FEMALE
Gentoo,15.7,5200,MALE
Gentoo,15.8,4925,MALE
Gentoo,14.6,4875,FEMALE
Gentoo,14.4,4625,FEMALE
Gentoo,16.5,5250,MALE
Gentoo,15,4850,FEMALE
Gentoo,17,5600,MALE
Gentoo,15.5,4975,FEMALE
Gentoo,15,5500,MALE
Gentoo,16.1,5500,MALE
Gentoo,14.7,4700,FEMALE
Gentoo,15.8,5500,MALE
Gentoo,14,4575,FEMALE
Gentoo,15.1,5500,MALE
Gentoo,15.2,5000,FEMALE
Gentoo,15.9,5950,MALE
Gentoo,15.2,4650,FEMALE
Gentoo,16.3,5500,MALE
Gentoo,14.1,4375,FEMALE
Gentoo,16,5850,MALE
Gentoo,16.2,6000,MALE
Gentoo,13.7,4925,FEMALE
Gentoo,14.3,4850,FEMALE
Gentoo,15.7,5750,MALE
Gentoo,14.8,5200,FEMALE
Gentoo,16.1,5400,MALE
